Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total
12/4/2023,Regional Summary,Total,ER,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,NER,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,NER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,NER,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,NER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",NER,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",NER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,NER,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,TOTAL,3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,TOTAL,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,TOTAL,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,TOTAL,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",TOTAL,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",TOTAL,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,TOTAL,3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,% Share,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,% Share,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,% Share,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,% Share,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",% Share,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",% Share,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,% Share,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,FVI,TOTAL,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (<49.7),TOTAL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (49.7 - 49.8),TOTAL,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (49.8 - 49.9),TOTAL,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (< 49.9),TOTAL,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (49.9 - 50.05),TOTAL,71.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Frequency (> 50.05),TOTAL,24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,SolarHR Max Demand,TOTAL,175512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,SolarHR Max Demand Time,TOTAL,9:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,SolarHR Shortage,TOTAL,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Non-SolarHR Max Demand,TOTAL,172974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Non-SolarHR Max Demand Time,TOTAL,18:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Non-SolarHR Shortage,TOTAL,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Region DDF,TOTAL,1.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,States DDF,TOTAL,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,International NET,,,,-5.0,0.1,-13.3,-17.1,-311.0,87.0,-591.0,-763.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,ALIPURDUAR-AGRA,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,PUSAULI  B/B,,0.0,48.0,0.0,1.3,-1.3,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-VARANASI,2.0,0.0,1022.0,0.0,13.6,-13.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,SASARAM-FATEHPUR,1.0,0.0,504.0,0.0,7.0,-7.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-BALIA,1.0,0.0,699.0,0.0,11.8,-11.8,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI-VARANASI,1.0,25.0,30.0,0.1,0.0,0.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI -ALLAHABAD,1.0,0.0,73.0,0.0,1.3,-1.3,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MUZAFFARPUR-GORAKHPUR,2.0,0.0,524.0,0.0,7.9,-7.9,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PATNA-BALIA,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,NAUBATPUR-BALIA,2.0,0.0,753.0,0.0,10.6,-10.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSHARIFF-BALIA,2.0,0.0,381.0,0.0,4.8,-4.8,,,,,,,,,,,,,,,,,
