DateID,LineID,CountryID,StateID,RegionID,MaxLoading,MinLoading,AvgLoading,EnergyExchanged
645,67,1.0,,4.0,-226.0,101.0,-78.0,-1.88
645,68,1.0,,4.0,-235.0,-126.0,-190.0,-4.56
645,69,1.0,,5.0,-22.0,-8.0,-16.0,-0.38
645,70,1.0,,5.0,14.0,-8.0,5.0,0.13
645,71,2.0,,1.0,-71.0,0.0,-45.0,-1.08
645,72,2.0,,4.0,-199.0,-28.0,-82.0,-1.98
645,73,2.0,,4.0,-327.0,-15.0,-136.0,-3.27
645,74,3.0,,4.0,-934.0,-649.0,-824.0,-19.77
645,75,3.0,,4.0,-761.0,-406.0,-563.0,-13.5
645,76,3.0,,5.0,-64.0,0.0,-53.0,-1.26
646,66,1.0,,4.0,231.0,-9.0,89.0,2.14
646,67,1.0,,4.0,-237.0,99.0,-77.0,-1.84
646,68,1.0,,4.0,-247.0,-141.0,-195.0,-4.68
646,69,1.0,,5.0,-23.0,0.0,-19.0,-0.45
646,70,1.0,,5.0,-14.0,0.0,-4.0,-0.09
646,71,2.0,,1.0,0.0,0.0,0.0,-1.15
646,72,2.0,,4.0,-178.0,-33.0,-86.0,-2.07
646,73,2.0,,4.0,-297.0,108.0,-134.0,-3.21
646,74,3.0,,4.0,-934.0,-648.0,-876.0,-21.02
646,75,3.0,,4.0,-764.0,-405.0,-608.0,-14.59
646,76,3.0,,5.0,-94.0,0.0,-52.0,-1.25
647,66,1.0,,4.0,68.0,58.0,68.0,2.04
647,67,1.0,,4.0,-238.0,82.0,-80.0,-1.93
647,68,1.0,,4.0,-251.0,-107.0,-192.0,-4.62
647,69,1.0,,5.0,-24.0,0.0,-19.0,-0.45
647,70,1.0,,5.0,-14.0,0.0,0.0,-0.01
647,71,2.0,,1.0,-70.0,0.0,-47.0,-1.14
647,72,2.0,,4.0,-193.0,-20.0,-81.0,-1.95
647,73,2.0,,4.0,-350.0,-4.0,-150.0,-3.6
647,74,3.0,,4.0,-933.0,-650.0,-870.0,-20.89
647,75,3.0,,4.0,-768.0,-405.0,-513.0,-12.32
647,76,3.0,,5.0,-103.0,0.0,-53.0,-1.28
648,66,1.0,,4.0,182.0,-4.0,96.0,2.3
648,67,1.0,,4.0,-161.0,100.0,-52.0,-1.24
648,68,1.0,,4.0,-237.0,-95.0,-169.0,-4.06
648,69,1.0,,5.0,-24.0,-3.0,-16.0,-0.39
648,70,1.0,,5.0,-34.0,0.0,-10.0,-0.25
648,71,2.0,,1.0,0.0,0.0,0.0,0.0
648,72,2.0,,4.0,-162.0,-21.0,-81.0,-1.94
648,73,2.0,,4.0,-305.0,-24.0,-149.0,-3.57
648,74,3.0,,4.0,-926.0,-546.0,-802.0,-19.26
648,75,3.0,,4.0,-761.0,-406.0,-526.0,-12.62
648,76,3.0,,5.0,-67.0,0.0,-53.0,-1.26
649,66,1.0,,4.0,197.0,2.0,75.0,1.81
649,67,1.0,,4.0,-202.0,93.0,-53.0,-1.28
649,68,1.0,,4.0,-240.0,-105.0,-175.0,-4.21
649,69,1.0,,5.0,-27.0,-15.0,-22.0,-0.52
649,70,1.0,,5.0,-11.0,0.0,-2.0,-0.04
649,71,2.0,,1.0,-66.0,0.0,-36.0,-0.86
649,72,2.0,,4.0,-181.0,-23.0,-78.0,-1.88
649,73,2.0,,4.0,-268.0,-8.0,-133.0,-3.2
649,74,3.0,,4.0,-927.0,-544.0,-832.0,-19.98
649,75,3.0,,4.0,-762.0,-404.0,-559.0,-13.43
649,76,3.0,,5.0,-64.0,0.0,-50.0,-1.2
650,66,1.0,,4.0,163.0,-5.0,70.0,1.69
650,67,1.0,,4.0,-205.0,82.0,-58.0,-1.39
650,68,1.0,,4.0,-237.0,-105.0,-176.0,-4.23
650,69,1.0,,5.0,-26.0,0.0,-18.0,-0.44
650,70,1.0,,5.0,7.0,-4.0,2.0,0.04
650,71,2.0,,1.0,-64.0,0.0,-40.0,-0.96
