DateID,RegionID,GenerationSourceID,GenerationAmount
12,2,6,19.0
12,2,14,138.0
13,4,8,41.0
13,4,10,5.37
13,4,1,744.0
13,4,2,0.0
13,4,9,0.0
13,4,6,0.0
13,4,14,6.0
13,5,8,9.0
13,5,10,1.06
13,5,1,17.0
13,5,2,0.0
13,5,9,0.0
13,5,6,31.0
13,5,14,1.0
13,1,8,134.0
13,1,11,9.0
13,1,10,139.53
13,1,1,774.0
13,1,2,22.0
13,1,9,30.0
13,1,6,10.0
13,1,14,169.0
13,3,8,91.0
13,3,11,28.0
13,3,10,126.43
13,3,1,750.0
13,3,2,64.0
13,3,9,69.0
13,3,6,6.0
13,3,14,185.0
13,6,8,320.0
13,6,11,120.0
13,6,10,330.0
13,6,1,3849.0
13,6,2,101.0
13,6,9,135.0
13,6,6,68.0
13,6,14,503.0
13,2,8,45.0
13,2,11,83.0
13,2,10,57.19
13,2,1,1565.0
13,2,2,16.0
13,2,9,35.0
13,2,6,20.0
13,2,14,142.0
14,4,8,47.0
14,4,10,5.22
14,4,1,723.0
14,4,2,0.0
14,4,9,0.0
14,4,6,0.0
14,4,14,6.0
14,5,8,8.0
14,5,10,1.06
14,5,1,17.0
14,5,2,0.0
14,5,9,0.0
14,5,6,31.0
14,5,14,1.0
14,1,8,144.0
14,1,11,14.0
14,1,10,136.85
14,1,1,799.0
14,1,2,15.0
14,1,9,30.0
14,1,6,9.0
14,1,14,170.0
14,3,8,76.0
14,3,11,32.0
14,3,10,118.18
14,3,1,758.0
14,3,2,64.0
14,3,9,70.0
14,3,6,6.0
14,3,14,182.0
14,6,8,309.0
14,6,11,149.0
14,6,10,325.0
14,6,1,3856.0
14,6,2,95.0
14,6,9,135.0
14,6,6,56.0
14,6,14,527.0
14,2,8,34.0
14,2,11,103.0
14,2,10,63.33
14,2,1,1558.0
14,2,2,16.0
14,2,9,35.0
14,2,6,9.0
14,2,14,168.0
15,4,8,51.0
15,4,10,5.84
15,4,1,716.0
15,4,2,0.0
15,4,9,0.0
15,4,6,0.0
15,4,14,7.0
15,5,8,8.0
15,5,10,1.02
15,5,1,17.0
15,5,2,0.0
15,5,9,0.0
