DateID,LineID,Inter_Region,MaxImport,MaxExport,ImportEnergy,ExportEnergy,NetImportEnergy
7,17,ER-NR,0.0,36.0,,,
7,18,ER-NR,0.0,0.0,,,
7,19,ER-WR,1295.0,0.0,,,
7,20,ER-WR,539.0,767.0,,,
7,21,ER-WR,0.0,1018.0,,,
7,22,ER-WR,0.0,726.0,,,
7,23,ER-WR,61.0,250.0,,,
7,24,ER-WR,0.0,138.0,,,
7,25,ER-WR,66.0,40.0,,,
7,26,ER-SR,0.0,549.0,,,
7,27,ER-SR,0.0,1998.0,,,
7,28,ER-SR,0.0,3175.0,,,
7,29,ER-SR,259.0,169.0,,,
7,30,ER-SR,0.0,0.0,,,
7,31,ER-NER,145.0,136.0,,,
7,32,ER-NER,294.0,92.0,,,
7,33,ER-NER,59.0,13.0,,,
7,35,WR-NR,0.0,795.0,,,
7,36,WR-NR,445.0,0.0,,,
7,37,WR-NR,0.0,1500.0,,,
7,38,WR-NR,237.0,2194.0,,,
7,39,WR-NR,392.0,1801.0,,,
7,40,WR-NR,70.0,783.0,,,
7,41,WR-NR,962.0,0.0,,,
7,42,WR-NR,0.0,918.0,,,
7,43,WR-NR,2490.0,0.0,,,
7,44,WR-NR,0.0,2371.0,,,
7,45,WR-NR,464.0,0.0,,,
7,46,WR-NR,854.0,0.0,,,
7,47,WR-NR,962.0,0.0,,,
7,48,WR-NR,687.0,337.0,,,
7,50,WR-NR,0.0,0.0,,,
7,51,WR-NR,0.0,30.0,,,
7,52,WR-NR,108.0,0.0,,,
7,53,WR-NR,90.0,1.0,,,
7,54,WR-NR,0.0,0.0,,,
7,55,WR-NR,0.0,0.0,,,
7,56,WR-SR,0.0,1023.0,,,
7,57,WR-SR,0.0,6019.0,,,
7,58,WR-SR,297.0,1987.0,,,
7,59,WR-SR,0.0,2974.0,,,
7,61,WR-SR,1271.0,0.0,,,
7,62,WR-SR,0.0,0.0,,,
7,63,WR-SR,0.0,0.0,,,
7,64,WR-SR,1.0,125.0,,,
8,1,ER-NR,0.0,0.0,,,
8,2,ER-NR,0.0,297.0,,,
8,3,ER-NR,49.0,691.0,,,
8,4,ER-NR,0.0,368.0,,,
8,5,ER-NR,0.0,596.0,,,
8,6,ER-NR,0.0,240.0,,,
8,7,ER-NR,0.0,166.0,,,
8,8,ER-NR,264.0,621.0,,,
8,9,ER-NR,0.0,508.0,,,
8,10,ER-NR,0.0,503.0,,,
8,12,ER-NR,1.0,506.0,,,
8,11,ER-NR,122.0,257.0,,,
8,14,ER-NR,0.0,174.0,,,
8,15,ER-NR,0.0,0.0,,,
8,16,ER-NR,25.0,0.0,,,
8,17,ER-NR,0.0,26.0,,,
8,18,ER-NR,0.0,0.0,,,
8,19,ER-WR,1301.0,0.0,,,
8,20,ER-WR,438.0,774.0,,,
8,21,ER-WR,0.0,850.0,,,
8,22,ER-WR,0.0,570.0,,,
8,23,ER-WR,35.0,253.0,,,
8,24,ER-WR,0.0,138.0,,,
8,25,ER-WR,70.0,34.0,,,
8,26,ER-SR,0.0,550.0,,,
8,27,ER-SR,0.0,1994.0,,,
8,28,ER-SR,0.0,2735.0,,,
8,29,ER-SR,310.0,151.0,,,
8,30,ER-SR,0.0,0.0,,,
8,31,ER-NER,196.0,201.0,,,
8,32,ER-NER,661.0,204.0,,,
8,33,ER-NER,104.0,33.0,,,
8,34,NER-NR,656.0,0.0,,,
8,35,WR-NR,0.0,315.0,,,
8,36,WR-NR,138.0,0.0,,,
8,37,WR-NR,0.0,999.0,,,
8,38,WR-NR,247.0,2519.0,,,
8,39,WR-NR,234.0,2051.0,,,
8,40,WR-NR,87.0,869.0,,,
8,41,WR-NR,1049.0,0.0,,,
8,42,WR-NR,0.0,982.0,,,
8,43,WR-NR,2366.0,0.0,,,
8,44,WR-NR,0.0,2202.0,,,
8,45,WR-NR,426.0,4.0,,,
8,46,WR-NR,825.0,740.0,,,
8,47,WR-NR,855.0,0.0,,,
8,48,WR-NR,632.0,519.0,,,
8,50,WR-NR,0.0,0.0,,,
8,51,WR-NR,0.0,30.0,,,
8,52,WR-NR,111.0,0.0,,,
8,53,WR-NR,93.0,13.0,,,
8,54,WR-NR,0.0,0.0,,,
8,55,WR-NR,0.0,0.0,,,
8,56,WR-SR,0.0,1016.0,,,
8,57,WR-SR,0.0,6018.0,,,
8,58,WR-SR,593.0,1757.0,,,
8,59,WR-SR,0.0,2699.0,,,
8,61,WR-SR,1282.0,0.0,,,
8,62,WR-SR,0.0,0.0,,,
8,63,WR-SR,0.0,0.0,,,
8,64,WR-SR,0.0,125.0,,,
9,1,ER-NR,0.0,0.0,,,
9,2,ER-NR,0.0,297.0,,,
9,3,ER-NR,405.0,666.0,,,
9,4,ER-NR,125.0,396.0,,,
9,5,ER-NR,0.0,557.0,,,
9,6,ER-NR,0.0,244.0,,,
9,7,ER-NR,0.0,158.0,,,
9,8,ER-NR,359.0,594.0,,,
9,9,ER-NR,79.0,498.0,,,
9,10,ER-NR,112.0,469.0,,,
